2019-10-25 11:12:27,651 | INFO | c.e.d.AuthenticationTest | [main] | Starting AuthenticationTest on PH-MTHAKUR with PID 20724 (started by mthakur in C:\Users\mthakur.CLINFO\Dropbox\java\projects\P04-eCommerce Application) |
2019-10-25 11:12:27,662 | DEBUG | c.e.d.AuthenticationTest | [main] | Running with Spring Boot v2.1.5.RELEASE, Spring v5.1.7.RELEASE | 
2019-10-25 11:12:27,664 | INFO | c.e.d.AuthenticationTest | [main] | No active profile set, falling back to default profiles: default | 
2019-10-25 11:12:35,364 | INFO | c.e.d.AuthenticationTest | [main] | Started AuthenticationTest in 8.026 seconds (JVM running for 10.091) | 
2019-10-25 11:12:35,762 | DEBUG | c.e.d.c.CartController | [http-nio-auto-1-exec-1] | create user request : udacity | 
2019-10-25 11:12:35,912 | INFO | c.e.d.c.CartController | [http-nio-auto-1-exec-1] | user creation success : with username : udacity | 
2019-10-25 11:12:36,213 | INFO | c.e.d.c.CartController | [main] | Item added to cart successfully with item id : 1 | 
2019-10-25 11:12:36,219 | DEBUG | c.e.d.c.CartController | [main] | User not found with username : null | 
2019-10-25 11:12:36,222 | INFO | c.e.d.c.CartController | [main] | Item removed from cart with id : 2 | 
2019-10-25 11:12:36,222 | DEBUG | c.e.d.c.CartController | [main] | User not found with username : null | 
2019-10-25 11:12:36,261 | INFO | c.e.d.ECommerceApplicationTests | [main] | Starting ECommerceApplicationTests on PH-MTHAKUR with PID 20724 (started by mthakur in C:\Users\mthakur.CLINFO\Dropbox\java\projects\P04-eCommerce Application) | 
2019-10-25 11:12:36,261 | DEBUG | c.e.d.ECommerceApplicationTests | [main] | Running with Spring Boot v2.1.5.RELEASE, Spring v5.1.7.RELEASE | 
2019-10-25 11:12:36,262 | INFO | c.e.d.ECommerceApplicationTests | [main] | No active profile set, falling back to default profiles: default | 
2019-10-25 11:12:38,175 | INFO | c.e.d.ECommerceApplicationTests | [main] | Started ECommerceApplicationTests in 1.942 seconds (JVM running for 12.902) | 
2019-10-25 11:12:38,190 | DEBUG | c.e.d.c.ItemController | [main] | fetching item by name : item | 
